statistic_yyy,site_id,village,edu_age_15up_total,edu_doctor_graduated_m,edu_doctor_ungraduated_m,edu_master_graduated_m,edu_master_ungraduated_m,edu_university_graduated_m,edu_university_ungraduated_m,edu_juniorcollege_2ys_graduated_m,edu_juniorcollege_2ys_ungraduated_m,edu_juniorcollege_5ys_final2y_graduated_m,edu_juniorcollege_5ys_final2y_ungraduated_m,edu_juniorcollege_5ys_first3y_ungraduated_m,edu_senior_graduated_m,edu_senior_ungraduated_m,edu_seniorvocational_graduated_m,edu_seniorvocational_ungraduated_m,edu_junior_graduated_m,edu_junior_ungraduated_m,edu_juniorvocational_graduated_m,edu_juniorvocational_ungraduated_m,edu_primary_graduated_m,edu_primary_ungraduated_m,edu_selftaughtl_m,edu_illiterate_m
統計年,區域別,村里名稱,總計,博畢_男,博肄_男,碩畢_男,碩肄_男,大畢_男,大肄_男,二畢_男,二肄_男,後二畢_男,後二肄_男,前三肄_男,高畢_男,高肄_男,職畢_男,職肄_男,國畢_男,國肄_男,初畢_男,初肄_男,小畢_男,小肄_男,自修_男,不識_男
105,臺北市大安區,法治里,4081,35,15,282,49,614,147,78,10,138,7,112,80,149,31,4,47,19,1,0,57,4,2,2
105,臺北市大安區,全安里,3994,43,10,314,37,702,122,98,7,112,4,88,52,93,21,4,52,18,3,0,27,3,0,0
105,臺北市大安區,群賢里,5397,74,13,418,40,904,161,99,19,126,6,134,78,149,44,2,58,22,0,0,47,3,1,3
105,臺北市大安區,群英里,6509,83,21,537,92,1040,208,149,19,207,8,159,99,163,54,5,52,24,1,0,23,7,1,2
105,臺北市大安區,虎嘯里,3424,45,9,270,28,578,111,62,9,120,3,78,44,78,22,4,32,12,1,0,24,3,0,0
105,臺北市大安區,臥龍里,1773,27,6,142,16,282,53,39,3,45,1,44,27,59,13,2,15,10,2,0,25,2,1,0
105,臺北市大安區,龍淵里,8020,175,47,710,91,1183,271,178,15,185,11,170,133,231,66,6,84,25,3,0,67,9,1,0
105,臺北市大安區,龍門里,3789,85,10,349,27,666,124,56,10,83,2,76,69,82,26,3,34,17,1,0,18,4,1,0
105,臺北市大安區,大學里,7545,231,46,656,82,1129,253,147,13,164,7,174,132,198,49,2,53,29,3,0,50,13,4,1
105,臺北市大安區,芳和里,5306,36,12,316,45,682,178,155,18,182,8,204,78,259,54,2,143,23,3,0,114,18,2,4
105,臺北市大安區,黎元里,5049,19,15,221,37,545,142,155,32,145,13,218,62,351,70,6,151,21,2,1,163,14,4,4
105,臺北市大安區,黎孝里,6976,43,23,380,70,1048,216,182,25,205,10,266,86,329,78,3,140,32,4,1,121,17,3,7
105,臺北市大安區,黎和里,4498,24,15,226,38,646,116,120,13,122,10,159,69,235,59,1,119,28,0,1,89,17,1,1
105,臺北市大安區,建安里,4458,53,12,326,40,734,140,84,11,113,5,106,72,109,26,2,37,15,1,0,25,2,2,0
105,臺北市大安區,建倫里,5573,77,9,391,44,975,166,110,9,148,8,144,66,134,29,2,50,23,0,1,30,5,1,1
105,臺北市大安區,敦安里,5588,87,13,454,51,918,176,106,16,141,10,123,83,156,35,2,46,15,1,0,31,8,1,2
105,臺北市大安區,正聲里,4301,55,10,360,39,738,136,83,9,128,2,103,58,97,44,3,54,14,0,0,32,7,3,2
105,臺北市大安區,敦煌里,5349,73,25,477,59,930,130,98,14,119,5,119,91,115,25,6,38,20,2,1,32,7,4,1
105,臺北市大安區,華聲里,3833,42,13,292,41,584,115,83,11,128,3,93,60,140,32,1,48,14,1,0,35,5,2,2
105,臺北市大安區,車層里,5680,68,14,414,53,994,158,115,14,167,10,148,68,148,35,1,68,28,1,0,38,8,2,2
105,臺北市大安區,光信里,6928,85,18,485,67,1150,206,142,20,160,10,185,111,199,69,4,99,38,2,0,75,13,3,3
105,臺北市大安區,學府里,2472,190,9,110,20,187,79,49,12,55,4,118,42,138,43,2,95,16,1,0,71,9,4,2
105,臺北市中山區,正守里,2917,16,11,146,31,425,80,62,13,107,7,103,42,149,36,5,75,16,1,3,62,7,0,2
105,臺北市中山區,正義里,4857,26,6,181,38,559,156,115,23,141,3,165,73,276,63,3,122,26,4,0,78,10,2,1
105,臺北市中山區,正得里,3425,29,11,188,25,478,96,83,10,96,8,103,37,134,28,3,66,15,2,0,47,6,2,2
105,臺北市中山區,民安里,4245,31,9,233,35,588,129,88,17,146,11,154,68,206,39,5,114,23,4,1,77,7,2,4
105,臺北市中山區,康樂里,2445,14,7,119,22,288,62,53,10,58,5,97,23,115,26,3,64,9,0,0,30,5,1,1
105,臺北市中山區,中山里,5964,31,9,257,46,722,160,173,24,162,13,208,68,280,63,5,120,32,6,0,105,17,0,3
105,臺北市中山區,聚盛里,3855,20,6,151,31,453,79,108,16,96,13,169,38,200,63,3,105,25,5,0,64,8,1,2
105,臺北市中山區,集英里,6355,48,25,263,51,751,223,154,22,207,14,206,104,324,66,13,163,43,6,1,113,10,4,3
105,臺北市中山區,聚葉里,3651,26,9,174,31,433,108,93,27,103,3,141,36,196,57,4,80,17,2,0,86,9,4,1
105,臺北市中山區,恆安里,4432,26,12,198,29,575,107,119,12,113,9,141,49,199,54,2,95,24,3,0,70,19,4,3
105,臺北市中山區,晴光里,4849,34,11,242,46,632,133,102,28,164,10,158,55,219,61,2,108,26,4,0,60,12,6,1
105,臺北市中山區,圓山里,3866,28,11,150,21,515,115,91,24,121,6,136,48,178,54,2,109,31,3,1,76,10,4,1
105,臺北市中山區,劍潭里,3378,36,6,157,36,549,96,78,20,118,8,107,43,155,43,2,69,27,1,0,53,8,1,1
105,臺北市中山區,大直里,8348,83,20,592,93,1322,287,161,27,269,4,198,121,295,78,12,136,35,6,1,112,20,0,1
105,臺北市中山區,成功里,5776,52,15,451,54,885,212,95,15,149,7,101,120,168,45,8,86,34,3,0,56,19,0,1
105,臺北市中山區,永安里,8326,94,23,629,98,1204,332,167,22,265,6,165,144,278,61,5,146,48,3,2,86,24,0,4
105,臺北市中山區,大佳里,981,1,1,20,3,92,24,19,9,16,0,35,15,73,41,0,83,14,1,0,80,10,4,1
105,臺北市中山區,新喜里,4904,11,12,203,53,534,172,135,25,135,5,211,63,292,74,9,135,30,10,0,135,8,2,3
105,臺北市中山區,新庄里,4662,18,10,177,39,521,144,126,19,181,12,170,48,268,76,6,154,32,4,3,119,5,1,4
105,臺北市中山區,新福里,4750,21,8,188,34,560,146,116,27,160,9,178,60,256,63,3,130,42,3,2,135,6,1,0
105,臺北市中山區,松江里,5934,30,11,305,56,863,192,132,24,200,16,191,80,280,66,5,121,28,3,0,94,13,1,2
105,臺北市中山區,新生里,4531,28,7,174,31,550,146,106,17,165,13,178,48,261,62,7,131,32,2,3,98,9,3,2
105,臺北市中山區,中庄里,4754,22,9,182,46,588,156,127,21,167,11,194,63,289,60,6,120,43,5,0,115,16,5,1
105,臺北市中山區,行政里,7086,31,15,243,45,769,214,181,27,255,24,368,122,500,123,7,297,84,4,1,227,66,9,11
105,臺北市中山區,行仁里,7518,19,9,299,60,825,259,214,39,250,11,304,91,514,121,13,242,46,11,1,231,24,5,7
105,臺北市中山區,行孝里,3784,10,5,155,36,420,141,94,10,114,10,146,51,274,63,6,139,21,2,0,90,13,0,3
105,臺北市中山區,下埤里,6928,30,13,312,63,985,201,165,26,233,12,237,69,383,96,4,167,51,4,2,150,7,2,4
105,臺北市中山區,江寧里,6317,56,9,416,58,996,239,98,31,226,8,181,97,267,47,3,102,22,5,0,78,11,2,0
105,臺北市中山區,江山里,6899,44,14,425,86,1064,206,158,25,242,16,196,95,329,77,3,144,30,7,0,124,17,1,2
105,臺北市中山區,中吉里,5029,44,17,279,60,745,156,101,29,169,7,181,91,214,66,5,97,35,8,0,66,15,2,2
105,臺北市中山區,中原里,4590,32,7,243,53,619,149,126,18,151,7,138,62,248,38,7,100,20,4,0,91,11,1,1
105,臺北市中山區,興亞里,4871,45,12,323,58,718,171,128,21,156,4,151,40,205,45,1,74,22,5,0,51,11,0,2
105,臺北市中山區,中央里,3244,17,9,175,30,487,97,89,16,128,2,99,45,144,31,4,64,15,1,1,43,7,1,0
105,臺北市中山區,朱馥里,5354,29,9,243,57,665,163,114,19,204,9,187,87,271,74,8,156,27,6,0,138,20,3,2
105,臺北市中山區,龍洲里,4632,55,10,274,53,739,159,113,13,170,5,142,62,140,32,5,51,11,4,0,40,8,2,2
105,臺北市中山區,朱園里,4183,38,8,291,36,612,123,93,16,143,8,131,59,164,22,7,59,24,2,0,57,7,3,0
105,臺北市中山區,埤頭里,3182,16,6,165,31,432,100,92,12,133,6,116,31,173,40,6,79,17,0,0,63,9,2,4
105,臺北市中山區,朱崙里,2546,18,5,134,23,333,74,66,12,96,1,82,28,115,24,2,57,11,3,2,53,10,1,2
105,臺北市中山區,力行里,5477,60,16,367,48,820,171,127,11,164,13,171,76,227,31,3,112,25,2,1,71,10,2,2
105,臺北市中山區,復華里,4222,36,6,239,45,592,155,118,17,141,4,132,75,140,44,9,57,18,1,0,52,8,1,6
105,臺北市中山區,金泰里,6542,47,23,503,78,888,225,183,30,175,15,174,114,280,71,7,139,53,2,0,112,20,2,2
105,臺北市中山區,北安里,2424,17,8,138,25,349,79,77,10,93,2,80,33,102,17,6,49,10,2,0,28,8,0,0
105,臺北市中正區,水源里,2732,40,12,151,33,319,92,68,10,94,6,78,26,117,22,2,62,23,1,2,55,11,1,3
105,臺北市中正區,富水里,2227,42,17,164,37,269,75,65,7,39,5,76,29,93,35,1,83,17,1,0,59,7,2,1
105,臺北市中正區,文盛里,2120,32,11,139,30,328,71,51,5,56,6,65,32,74,20,3,42,9,0,1,32,6,0,1
105,臺北市中正區,林興里,4025,51,21,300,48,515,136,111,18,96,3,127,57,167,45,3,84,15,2,0,71,9,3,4
105,臺北市中正區,河堤里,4273,72,14,304,44,682,161,110,17,146,10,108,49,154,25,8,40,13,0,0,44,12,1,3
105,臺北市中正區,頂東里,5613,54,14,361,86,860,187,152,15,160,8,128,65,222,34,2,92,26,4,1,92,9,1,3
105,臺北市中正區,網溪里,5352,52,14,375,59,815,181,143,21,147,8,158,74,195,52,5,79,15,1,0,79,7,0,1
105,臺北市中正區,板溪里,3083,24,12,194,35,413,80,69,14,84,3,78,35,174,32,2,92,16,2,0,59,5,2,1
105,臺北市中正區,螢圃里,4986,43,19,309,45,732,174,115,26,152,5,154,49,250,38,10,109,23,1,0,77,11,1,0
105,臺北市中正區,螢雪里,4108,26,15,210,47,510,140,110,22,133,6,158,41,229,59,5,136,25,1,0,76,8,1,2
105,臺北市中正區,永功里,5534,48,18,281,39,651,205,157,22,167,6,204,85,312,95,12,178,32,2,2,138,13,2,11
105,臺北市中正區,永昌里,4701,16,7,176,30,488,143,123,47,150,12,190,58,337,91,5,198,38,4,1,155,23,4,5
105,臺北市中正區,龍興里,3322,28,6,194,29,407,92,85,17,85,5,102,55,186,71,1,95,22,1,0,82,6,2,3
105,臺北市中正區,忠勤里,6165,8,5,143,40,450,166,170,35,130,13,276,88,457,145,8,458,60,6,1,225,24,8,17
105,臺北市中正區,廈安里,3621,30,10,199,36,445,102,93,11,100,3,128,60,200,50,6,89,26,0,0,76,14,2,3
105,臺北市中正區,愛國里,2807,27,9,171,19,368,105,58,10,78,4,77,55,102,37,2,53,16,2,1,30,9,1,0
105,臺北市中正區,南門里,2367,40,11,166,29,330,76,49,7,63,3,51,46,84,21,3,31,11,1,0,31,11,2,3
