statistic_yyy,site_id,village,edu_age_15up_total,edu_doctor_graduated_m,edu_doctor_ungraduated_m,edu_master_graduated_m,edu_master_ungraduated_m,edu_university_graduated_m,edu_university_ungraduated_m,edu_juniorcollege_2ys_graduated_m,edu_juniorcollege_2ys_ungraduated_m,edu_juniorcollege_5ys_final2y_graduated_m,edu_juniorcollege_5ys_final2y_ungraduated_m,edu_juniorcollege_5ys_first3y_ungraduated_m,edu_senior_graduated_m,edu_senior_ungraduated_m,edu_seniorvocational_graduated_m,edu_seniorvocational_ungraduated_m,edu_junior_graduated_m,edu_junior_ungraduated_m,edu_juniorvocational_graduated_m,edu_juniorvocational_ungraduated_m,edu_primary_graduated_m,edu_primary_ungraduated_m,edu_selftaughtl_m,edu_illiterate_m
統計年,區域別,村里名稱,總計,博畢_男,博肄_男,碩畢_男,碩肄_男,大畢_男,大肄_男,二畢_男,二肄_男,後二畢_男,後二肄_男,前三肄_男,高畢_男,高肄_男,職畢_男,職肄_男,國畢_男,國肄_男,初畢_男,初肄_男,小畢_男,小肄_男,自修_男,不識_男
104,臺北市松山區,民有里,7973,74,20,542,75,1316,273,210,18,246,8,7,199,118,264,63,97,37,2,0,56,16,0,4
104,臺北市松山區,民福里,5974,37,16,292,56,884,194,181,26,206,7,6,205,78,279,76,121,29,3,4,91,11,0,1
104,臺北市松山區,慈祐里,7298,16,8,255,65,853,229,257,41,205,19,9,319,109,509,135,271,64,6,1,202,57,6,9
104,臺北市松山區,安平里,7714,41,11,349,80,995,258,236,29,234,9,12,245,114,437,98,204,46,4,0,235,20,5,4
104,臺北市松山區,鵬程里,5115,32,8,265,50,743,215,139,15,170,6,8,186,73,238,73,111,26,0,0,74,3,0,2
104,臺北市松山區,自強里,8848,63,25,646,78,1360,305,235,30,337,14,6,293,169,273,100,123,38,2,0,58,21,2,0
104,臺北市松山區,吉祥里,7736,58,20,466,77,1168,255,209,22,287,15,8,211,99,328,78,124,32,4,0,105,13,1,2
104,臺北市松山區,新聚里,7303,52,18,395,69,999,295,208,28,220,10,10,226,96,330,84,145,32,3,1,102,20,1,1
104,臺北市松山區,復盛里,5876,35,13,313,55,825,199,174,28,188,11,7,199,63,290,70,124,23,2,0,107,12,2,4
104,臺北市松山區,中正里,8351,78,23,624,87,1233,296,224,27,237,7,8,192,153,269,70,85,56,2,0,74,9,2,1
