statistic_yyy,site_id,village,edu_age_15up_total,edu_doctor_graduated_m,edu_doctor_ungraduated_m,edu_master_graduated_m,edu_master_ungraduated_m,edu_university_graduated_m,edu_university_ungraduated_m,edu_juniorcollege_2ys_graduated_m,edu_juniorcollege_2ys_ungraduated_m,edu_juniorcollege_5ys_final2y_graduated_m,edu_juniorcollege_5ys_final2y_ungraduated_m,edu_juniorcollege_5ys_first3y_ungraduated_m,edu_senior_graduated_m,edu_senior_ungraduated_m,edu_seniorvocational_graduated_m,edu_seniorvocational_ungraduated_m,edu_junior_graduated_m,edu_junior_ungraduated_m,edu_juniorvocational_graduated_m,edu_juniorvocational_ungraduated_m,edu_primary_graduated_m,edu_primary_ungraduated_m,edu_selftaughtl_m,edu_illiterate_m,,,,,,,,,,,,,,,,,,,,,,,
統計年,區域別,村里名稱,總計,博畢_男,博肄_男,碩畢_男,碩肄_男,大畢_男,大肄_男,二畢_男,二肄_男,後二畢_男,後二肄_男,前三肄_男,高畢_男,高肄_男,職畢_男,職肄_男,國畢_男,國肄_男,初畢_男,初肄_男,小畢_男,小肄_男,自修_男,不識_男,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,港嘴里,5704,16,4,139,51,520,222,162,40,148,14,14,154,74,471,160,312,54,5,2,228,15,2,6,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,振興里,4158,2,5,94,22,343,133,130,20,95,12,5,176,47,351,96,251,41,1,0,193,8,8,10,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,振義里,3917,4,4,78,19,286,122,95,16,110,6,3,133,67,334,116,243,40,6,5,197,19,1,6,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,光復里,3011,9,4,84,21,248,101,98,19,84,8,9,102,46,232,95,185,26,3,2,136,10,3,3,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,埔墘里,5777,17,10,149,42,527,194,159,36,172,10,18,192,87,410,150,303,49,3,5,207,11,3,2,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,長壽里,2628,7,4,71,13,259,81,82,17,70,9,6,98,44,206,59,121,18,2,0,101,7,1,5,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,福壽里,3106,8,0,115,25,331,116,83,26,82,6,9,122,52,208,63,164,24,2,0,100,7,3,3,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,海山里,6804,19,12,268,67,655,239,176,30,177,14,24,225,127,445,161,256,47,5,0,222,11,1,6,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,九如里,2636,4,2,52,23,195,94,65,10,53,7,9,103,49,222,75,141,31,3,1,105,5,3,6,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,玉光里,4760,8,6,119,46,402,155,136,22,106,8,17,146,78,345,120,251,26,5,2,199,12,6,5,,,,,,,,,,,,,,,,,,,,,,,
