年月,地區,食品餐飲類未達50萬(筆數),食品餐飲類未達50萬(金額，新台幣),衣著飾品類未達50萬(筆數),衣著飾品類未達50萬(金額，新台幣),旅館住宿類未達50萬(筆數),旅館住宿類未達50萬(金額，新台幣),交通類未達50萬(筆數),交通類未達50萬(金額，新台幣),文教康樂類未達50萬(筆數),文教康樂類未達50萬(金額，新台幣),百貨類未達50萬(筆數),百貨類未達50萬(金額，新台幣),其他類未達50萬(筆數),其他類未達50萬(金額，新台幣),食品餐飲類50萬(含)-75萬(筆數),食品餐飲類50萬(含)-75萬(金額，新台幣),衣著飾品類50萬(含)-75萬(筆數),衣著飾品類50萬(含)-75萬(金額，新台幣),旅館住宿類50萬(含)-75萬(筆數),旅館住宿類50萬(含)-75萬(金額，新台幣),交通類50萬(含)-75萬(筆數),交通類50萬(含)-75萬(金額，新台幣),文教康樂類50萬(含)-75萬(筆數),文教康樂類50萬(含)-75萬(金額，新台幣),百貨類50萬(含)-75萬(筆數),百貨類50萬(含)-75萬(金額，新台幣),其他類50萬(含)-75萬(筆數),其他類50萬(含)-75萬(金額，新台幣),食品餐飲類75萬(含)-100萬(筆數),食品餐飲類75萬(含)-100萬(金額，新台幣),衣著飾品類75萬(含)-100萬(筆數),衣著飾品類75萬(含)-100萬(金額，新台幣),旅館住宿類75萬(含)-100萬(筆數),旅館住宿類75萬(含)-100萬(金額，新台幣),交通類75萬(含)-100萬(筆數),交通類75萬(含)-100萬(金額，新台幣),文教康樂類75萬(含)-100萬(筆數),文教康樂類75萬(含)-100萬(金額，新台幣),百貨類75萬(含)-100萬(筆數),百貨類75萬(含)-100萬(金額，新台幣),其他類75萬(含)-100萬(筆數),其他類75萬(含)-100萬(金額，新台幣),食品餐飲類100萬(含)-125萬(筆數),食品餐飲類100萬(含)-125萬(金額，新台幣),衣著飾品類100萬(含)-125萬(筆數),衣著飾品類100萬(含)-125萬(金額，新台幣),旅館住宿類100萬(含)-125萬(筆數),旅館住宿類100萬(含)-125萬(金額，新台幣),交通類100萬(含)-125萬(筆數),交通類100萬(含)-125萬(金額，新台幣),文教康樂類100萬(含)-125萬(筆數),文教康樂類100萬(含)-125萬(金額，新台幣),百貨類100萬(含)-125萬(筆數),百貨類100萬(含)-125萬(金額，新台幣),其他類100萬(含)-125萬(筆數),其他類100萬(含)-125萬(金額，新台幣),食品餐飲類125萬(含)-150萬(筆數),食品餐飲類125萬(含)-150萬(金額，新台幣),衣著飾品類125萬(含)-150萬(筆數),衣著飾品類125萬(含)-150萬(金額，新台幣),旅館住宿類125萬(含)-150萬(筆數),旅館住宿類125萬(含)-150萬(金額，新台幣),交通類125萬(含)-150萬(筆數),交通類125萬(含)-150萬(金額，新台幣),文教康樂類125萬(含)-150萬(筆數),文教康樂類125萬(含)-150萬(金額，新台幣),百貨類125萬(含)-150萬(筆數),百貨類125萬(含)-150萬(金額，新台幣),其他類125萬(含)-150萬(筆數),其他類125萬(含)-150萬(金額，新台幣),食品餐飲類150萬(含)-175萬(筆數),食品餐飲類150萬(含)-175萬(金額，新台幣),衣著飾品類150萬(含)-175萬(筆數),衣著飾品類150萬(含)-175萬(金額，新台幣),旅館住宿類150萬(含)-175萬(筆數),旅館住宿類150萬(含)-175萬(金額，新台幣),交通類150萬(含)-175萬(筆數),交通類150萬(含)-175萬(金額，新台幣),文教康樂類150萬(含)-175萬(筆數),文教康樂類150萬(含)-175萬(金額，新台幣),百貨類150萬(含)-175萬(筆數),百貨類150萬(含)-175萬(金額，新台幣),其他類150萬(含)-175萬(筆數),其他類150萬(含)-175萬(金額，新台幣),食品餐飲類175萬(含)-200萬(筆數),食品餐飲類175萬(含)-200萬(金額，新台幣),衣著飾品類175萬(含)-200萬(筆數),衣著飾品類175萬(含)-200萬(金額，新台幣),旅館住宿類175萬(含)-200萬(筆數),旅館住宿類175萬(含)-200萬(金額，新台幣),交通類175萬(含)-200萬(筆數),交通類175萬(含)-200萬(金額，新台幣),文教康樂類175萬(含)-200萬(筆數),文教康樂類175萬(含)-200萬(金額，新台幣),百貨類175萬(含)-200萬(筆數),百貨類175萬(含)-200萬(金額，新台幣),其他類175萬(含)-200萬(筆數),其他類175萬(含)-200萬(金額，新台幣),食品餐飲類200萬(含)以上(筆數),食品餐飲類200萬(含)以上(金額，新台幣),衣著飾品類200萬(含)以上(筆數),衣著飾品類200萬(含)以上(金額，新台幣),旅館住宿類200萬(含)以上(筆數),旅館住宿類200萬(含)以上(金額，新台幣),交通類200萬(含)以上(筆數),交通類200萬(含)以上(金額，新台幣),文教康樂類200萬(含)以上(筆數),文教康樂類200萬(含)以上(金額，新台幣),百貨類200萬(含)以上(筆數),百貨類200萬(含)以上(金額，新台幣),其他類200萬(含)以上(筆數),其他類200萬(含)以上(金額，新台幣)
104年05月,雲林縣,45664,56719625,19478,44738786,8596,43188863,168267,147093080,14603,54696896,2348,2816617,19860,83220523,18749,25048895,7596,18296850,4232,20548265,52537,51076053,6459,24659168,959,1168330,8780,40572467,5981,8413121,2229,5885693,1597,10085449,17710,17761025,2291,10295680,213,254910,2645,14007580,2778,4396119,978,2613703,898,5281610,9300,10128418,1208,6686435,80,104306,1369,7286034,867,1345806,287,726953,286,1473234,2865,3191572,384,2192866,50,72651,384,2259502,699,1159109,241,624844,223,1825337,2226,2559197,333,2314228,18,39107,269,1485288,330,465395,79,176851,97,468871,1023,1249102,169,620237,26,6914,143,1189532,1340,2433536,494,1596340,481,4697171,4733,6208752,773,6637011,32,26625,728,6378912
104年06月,雲林縣,43562,51595476,18012,39919785,8870,47176712,166223,150385959,13661,49080241,2514,3324115,20301,83874855,18271,22558817,6859,16197989,4254,22681925,52970,53598939,6228,24613660,995,1315990,8534,38593935,5879,7757893,2000,4868718,1563,8673324,18139,18616507,2255,10278610,210,328640,2664,13862018,2776,4134605,913,2321747,885,5122827,9625,10956059,1107,6047875,93,101121,1388,7739340,919,1280140,262,572774,286,1960793,2900,3354683,372,2780758,57,70123,409,2728159,604,809522,240,677287,225,1236014,2394,2876639,285,1454698,23,18167,300,1403552,319,458495,95,207852,129,754239,1055,1237117,140,1320723,31,9622,165,1067175,1346,2605836,517,1691813,463,4806948,4766,6665837,753,5332536,39,65269,681,5226252
104年07月,雲林縣,45326,52998536,17824,39676583,9509,46722522,173290,151944595,15231,59283135,2542,3225814,20429,80231898,18866,24390270,7279,17818507,4950,23892963,55095,54485409,7286,30879836,1085,1371086,8888,40472803,6425,8724838,2399,6389102,1794,9875077,19131,20037792,2845,13427338,254,329220,2836,14092739,3005,4492565,1042,2806493,1077,5626847,9767,10897053,1363,7455314,98,228198,1484,8499974,994,1306681,317,832290,321,1715751,2996,3493571,440,2345059,53,107513,448,2291647,660,1097983,217,650615,248,1536557,2253,2690177,395,2640327,26,29555,319,1762619,327,405671,90,210530,134,623469,1093,1275332,187,1066862,7,7180,152,1187393,1362,2282439,520,1811098,593,5391157,4984,6983899,789,7230653,41,35229,728,4453134
104年08月,雲林縣,55424,75894525,18546,39137714,9373,41215190,168256,135746898,15714,55693555,2414,3040566,21684,82801912,23219,34092394,7537,17686068,4853,20350665,51984,47416839,7392,26676406,980,1056452,8809,38091260,7610,11304897,2427,6214911,1843,8789713,18167,17310622,2839,10522450,246,304712,2780,13454200,3478,5559352,927,2328148,969,4699055,9370,9222903,1316,6697532,78,70140,1374,7170845,1091,1798853,300,730959,328,1945401,2728,2743773,419,1635945,37,23483,442,2698673,877,1570896,205,477067,217,1147654,2136,2270900,378,2294220,22,21930,283,1573310,406,564030,109,232956,140,724674,984,987859,170,681749,17,9872,139,668795,1651,3075087,456,1300927,534,5416208,4706,6447893,762,5464945,47,122942,684,4898093
104年09月,雲林縣,41369,50411417,16166,38790599,8426,38486974,167232,134040180,13766,45868384,2655,3773102,21884,78704878,18240,24705150,6513,17228331,4043,17829285,51514,45949230,6111,22548133,1047,1522513,8948,37732547,5965,7928018,1778,4781704,1572,6964463,17653,16372059,2218,7845038,262,298622,2708,12985763,2950,4903334,725,2205919,842,4606111,9401,9251889,1081,6112538,106,170842,1483,7915719,883,1265408,223,596755,246,1193404,2785,2775955,325,1632725,38,45432,450,2044237,686,1075301,186,550477,216,975116,2231,2264637,298,2454335,27,22144,323,1841615,323,505473,101,298098,120,625955,981,942208,174,1470799,9,6095,134,879303,1399,2481831,409,1467551,433,5133494,4637,5726458,642,6141179,68,68039,724,4792213
104年10月,雲林縣,39337,46415309,18424,45345466,8580,36685032,171624,136250950,14956,53096262,2338,2824108,23810,99139123,17536,21608288,7233,19622673,4141,17889000,52797,48104024,6822,27746192,999,1357441,9235,43212855,5735,7147800,1998,5304882,1624,8874613,17520,15956593,2379,9591244,222,366906,2973,15144949,2868,3871977,918,2685048,855,4362404,9481,10018832,1189,5880301,63,186587,1479,8135762,855,1172754,312,891314,304,1776372,2673,2839385,369,2676853,48,78517,431,3087057,637,927154,208,582291,244,1281893,2136,2295294,339,2959089,21,23274,310,2914893,324,456383,74,227103,99,582560,951,942815,147,949423,12,28489,138,711580,1307,2293227,490,1819598,506,4182412,4656,5779408,702,5078128,34,35521,680,4538450
104年11月,雲林縣,38096,45218251,17195,43666136,8813,45648601,168459,131686777,14433,51973488,2412,2539779,22605,89841579,16606,20115150,6570,17772569,4312,21235048,51645,45475983,6630,27242414,953,1221994,8831,39624844,5454,6962173,1903,5205913,1715,8164978,17379,16291851,2280,9209677,214,435559,2761,13780324,2514,3775870,776,2379573,838,5671072,9132,9040779,1142,6057024,77,153648,1363,6695421,860,1237373,251,771072,332,2156634,2704,2998394,365,2177643,47,36055,403,1892835,644,990214,180,609864,266,1916568,2076,2123133,335,3059834,11,12251,285,1796203,296,411028,89,284151,141,733938,919,880455,174,889345,11,11569,151,985295,1201,2293450,415,1574932,520,6712853,4629,5172946,741,5938733,42,44111,663,5161065
104年12月,雲林縣,40060,50168829,21667,53003379,9208,42994615,172450,129919010,14043,50901642,3327,3291021,23934,91487348,17376,22310246,8099,21418258,4502,20627513,53391,45358230,6124,23887233,1295,1313041,9989,44185730,5974,7963806,2429,6695711,1713,7948840,18642,16226217,2263,9929052,336,388322,3129,15295610,2706,4436760,1050,2858183,949,4877300,9867,10005948,1180,5855028,123,136973,1522,9687792,868,1519801,329,845418,316,1496408,2962,2975582,415,2377419,52,81384,456,2708094,623,1070785,246,774724,243,1945083,2412,2468003,308,1703674,30,45979,365,2174130,336,620204,127,595159,120,735907,1132,1335247,166,827941,9,7437,189,1087879,1343,2463354,596,2171122,587,4098041,5157,5482749,739,6048595,56,47334,835,5293391
105年01月,雲林縣,57943,85459223,23887,59780307,12242,57589619,130332,90380465,12705,50963852,9305,9603545,20653,86628050,24747,38320083,9647,26323746,5873,27058719,35271,29091191,6132,28424417,3118,3387098,8546,41746726,8572,13966083,2814,7758981,2210,11289026,12940,11908504,2315,10092639,771,1028211,2873,14215295,4182,7683202,1071,3202744,1229,6826573,6302,5994386,1089,7393515,293,257005,1405,7720899,1242,2183373,369,1263749,398,2173455,1922,1690867,347,2374402,123,235885,414,2153135,890,2979170,280,997930,302,1559436,1523,2541649,357,3286856,74,84497,313,1769488,458,832979,125,407841,153,842445,844,745733,145,777811,36,28002,142,1081935,1812,4284207,610,2824286,685,5879383,3059,3716940,682,7638587,165,260907,734,5331507
105年02月,雲林縣,55399,80884877,20729,53120784,12542,62251756,119234,82338183,15246,52603079,8520,8253827,19594,83855980,25023,39901211,8278,22289699,6379,31006746,36365,29035003,7349,25227799,2798,2875028,8354,39601449,8989,14034909,2589,7095649,2407,12251405,13814,11638319,2642,8364848,816,980535,2841,14311842,4286,7205724,1051,3197292,1327,7468788,6837,6913846,1360,5253495,308,352377,1380,7648847,1422,2635448,347,1099042,457,3178128,2125,1745478,480,2931550,131,140247,406,2065013,979,1923175,297,853009,363,1962846,1655,2117116,371,1860101,70,57714,328,2038708,492,902171,129,430019,150,754226,857,1084484,193,468047,40,53543,146,1152329,1886,4002031,568,2266254,764,7422745,3223,4360493,782,5908178,135,135762,671,3829373
105年03月,雲林縣,45457,51891802,13985,35667943,9185,38284895,123016,91077332,11001,47118794,7661,7757130,19445,74271079,18294,21644523,5226,14836728,4378,16127079,33779,29102898,4702,23297488,2259,2340556,7884,34225884,6409,7868419,1549,4303610,1748,6735140,12390,12004444,1784,8618937,646,660193,2602,12540526,3189,4426750,699,2204757,927,4643050,6156,8060024,889,6681196,213,278181,1415,7347506,1016,1408488,201,860972,300,1369848,1905,1871341,303,2168450,79,84423,358,1564719,735,1307925,151,390714,244,987065,1594,2009736,267,2235685,48,75051,325,2565217,321,514244,76,193783,127,544794,789,930671,131,721511,16,12016,148,983735,1431,2106222,403,1759721,598,4422015,3043,5357355,589,5587600,84,133479,705,4066202
105年04月,雲林縣,47969,58365425,18639,43435334,10301,49429722,127092,94802185,13551,49344676,8390,9049816,18142,72503817,20223,25145297,6922,17118374,5072,23818141,35888,31107748,6201,24043030,2584,3058033,7317,34345098,7090,9318582,2059,5329017,1911,9100077,13306,11431045,2203,9619323,715,883769,2442,11562650,3353,4876975,849,2434286,962,5128204,6247,6106678,1041,5342894,227,276846,1127,5651966,1203,1622199,323,848209,319,1542620,2080,2185810,408,2245408,128,172457,334,1752822,790,1212216,232,640260,295,1765054,1582,1787092,335,2083575,62,65682,252,1100386,341,416899,95,280000,180,956663,818,801871,171,821693,21,17287,142,586226,1451,2394957,487,1757639,649,6302174,3003,5176451,651,5158960,123,112967,533,4282758
105年05月,雲林縣,50203,62889099,19526,45106726,9613,47966592,128503,99888557,13027,52717402,8805,8582370,19623,74512275,20982,27373796,7181,17109493,4525,21744075,35685,32558784,5618,24901306,2713,2744305,7517,33749387,7176,9363627,2211,5637777,1714,8460901,12666,14240957,1964,8718562,732,841124,2489,11959134,3275,4777729,920,2468954,931,5442095,5948,5862192,1003,6597894,245,252260,1153,6197742,1129,1748412,319,818040,297,1897683,1921,2326939,335,1722918,103,111970,371,1738487,769,1272843,225,560667,254,1776383,1569,1692559,297,2279044,61,53798,264,1260719,362,638427,113,305414,111,1123686,843,1410561,143,1095202,29,29289,141,928683,1458,2831015,506,1762805,611,5494720,2942,5352684,637,5390961,105,177027,611,4061113
105年06月,雲林縣,53523,64193548,18893,42165860,10265,50199009,130009,107182580,12711,49120077,9035,8515705,23100,82144470,22623,28868240,7175,17606961,4892,23693791,37523,35563429,5790,28135805,2792,2721858,9288,38266931,7870,10464169,2169,5400122,1867,9304956,13614,13261887,2157,10653650,724,751751,3105,12761313,3617,5270833,949,2591145,1083,5203929,6888,7232412,1068,6827960,253,259638,1524,8672131,1159,1672460,280,717289,349,1820376,2053,2307250,388,3271155,98,105398,467,2540279,959,1442178,263,655462,300,1489805,1686,2160029,275,1874497,57,60202,341,1773165,401,568461,107,247213,119,1250800,871,899879,155,694379,31,56671,169,802925,1639,3450364,510,1646358,548,3262784,3437,6451362,774,9385677,148,176476,723,4349823
105年07月,雲林縣,57302,71032323,18421,39926784,11115,52596852,131109,105482824,13799,49648203,9281,9294605,23036,80910820,23922,30989415,7324,17399782,5526,26436962,38438,34942903,6451,26921502,2906,3044978,9361,38383377,8156,10798071,2416,5893545,2121,9617391,14236,13644741,2606,11357868,793,850252,3196,16487515,3827,5741628,995,2686631,1169,6331645,6890,6971451,1186,5300991,296,360631,1581,8462576,1146,1822009,284,891792,386,1989955,2172,2176248,433,2571748,126,120376,452,2144010,929,1416313,206,551860,314,1699620,1650,1733348,334,2381128,82,84339,352,1867855,449,635448,103,215350,128,669811,914,896633,155,801014,39,36888,171,1104183,1707,3011105,490,1348762,623,4683965,3242,6407639,773,7395708,154,202828,759,5129494
105年08月,雲林縣,54858,77479530,17867,38738767,10514,45739483,119481,93998386,13735,52584982,8792,8648147,23477,82606048,22882,33098984,6885,16264770,5170,22837349,44748,37634676,6118,24303185,2817,3169026,9653,41328651,8025,12792060,2270,5577409,2049,9323688,16084,14021632,2486,10890382,715,850909,3109,15805702,3803,6054866,997,2646160,1056,5327437,8779,7861719,1148,6464483,248,398503,1577,8723445,1271,1967021,316,757452,432,1786882,2932,3122186,391,1961656,116,97777,505,2455771,924,1496765,223,704504,300,1670822,2021,2004473,364,2872371,64,56353,398,2386944,421,640509,112,337218,152,797883,1020,1351153,176,865165,27,30263,207,1370670,1712,3201387,455,1468780,673,4983722,4274,6177241,717,8176150,148,132953,874,5919858
105年09月,雲林縣,49851,62349011,15011,36308786,9129,38013232,101518,80966813,12434,43478127,7996,8972268,21513,82779146,21155,27893417,5733,14263787,4266,17007186,45604,38465007,5339,20404369,2470,3032716,8466,36360597,7361,9554761,1709,4724371,1655,5953825,16815,16306727,1976,7845601,645,850909,2791,12731190,3702,5189669,758,2127387,897,3851064,9426,9233084,1011,5248861,263,332502,1364,6978825,1128,1794032,239,866089,318,1339869,3443,3310230,377,2175202,119,182704,478,2653121,798,1391982,204,484080,251,1933849,2319,2109830,293,2098166,68,86936,346,1993403,450,681960,96,275970,130,636817,990,979402,140,710223,26,24442,179,1035823,1640,2981559,428,1394300,559,3773751,4655,5036711,659,5808000,147,207593,811,4905364
105年10月,雲林縣,51372,59175174,16924,40435365,9985,42819629,109018,88727665,13041,48240565,8793,8627194,23792,87129844,22004,26475464,6351,16304966,4854,21787533,51515,42829850,5756,22192047,2758,2797176,9618,41299666,7708,9812525,1936,5028808,1865,8262788,18744,15832694,2170,9050178,705,757309,3173,13945523,3751,4928385,864,2577444,968,4404863,10455,10423787,1041,6937229,293,457437,1582,8006140,1210,1908344,256,786753,369,1735974,4191,3983527,386,3460876,99,64368,544,3167335,888,1400306,241,687279,273,1586505,2918,2753146,335,2310883,62,88993,408,2221211,389,547745,97,252515,136,473466,1195,1186544,162,804387,32,21262,196,1153622,1719,3114748,455,1656642,579,3463114,5251,5484595,717,7590073,142,153044,871,5492584
105年11月,雲林縣,47757,53827430,16758,42345941,9994,44005247,75055,66169170,12599,51060621,7865,7170768,21806,81322980,20085,24413868,6504,18189356,4860,21560553,35301,34272700,5696,25347222,2441,2152407,8573,38497156,6850,8453587,1929,5851560,1986,8644079,12778,11614658,2195,9206492,642,672422,2728,13187596,3322,4632859,835,2501555,1022,4949189,6375,6651423,1116,5783222,249,254873,1387,8718083,1061,1560849,272,1012659,358,2211551,2501,4138792,382,2612461,80,84013,478,2443168,803,1124511,180,571507,279,2028569,1519,2722499,314,1870674,56,77159,364,2340651,386,623394,86,264868,133,1124940,763,890361,169,653395,34,36820,131,761432,1465,2452874,463,1769331,591,6134371,3266,4604695,714,4894087,110,200389,811,5464452
105年12月,雲林縣,50077,60636779,21134,52696470,10317,41214839,78012,71465230,13075,50463249,8971,8438082,23801,88785871,21654,28320405,8015,21904893,5014,21962820,36750,36892157,6129,25109617,2782,2889733,9488,40221005,7676,10723087,2646,7892281,1983,8636298,13309,13318656,2473,10824969,718,720651,3167,14744557,3614,5566101,1152,3424590,1006,5204601,6596,8371672,1176,5869383,244,308470,1571,9263001,1237,2395081,310,1257287,341,1981898,2693,3649589,353,1716691,88,69808,490,2356747,875,1371434,259,841068,305,1525029,1632,3278354,370,2795342,65,70444,347,1783930,380,660971,114,414850,143,655411,843,956560,163,1186678,31,37067,180,926737,1522,2735754,549,1922087,644,4319699,3377,4379372,749,6010332,142,116939,887,5786943
106年01月,雲林縣,61730,96639152,23743,61047882,11846,58782646,77765,73082944,14212,57574554,8864,9368049,23629,86897219,27457,45543117,8776,23579420,5707,28189347,36797,36123567,6519,26688672,2815,2845334,9814,40839161,9616,16543071,2675,7325601,2233,12784040,13416,13987212,2418,10043691,794,858062,3075,13613669,4747,9281424,1157,4019185,1212,6852161,6823,8372116,1264,7284882,326,392961,1647,7910067,1641,3431084,442,1350354,415,2107464,2992,3010816,481,2686721,91,78565,588,2899236,1256,2577555,305,914225,314,1985793,1705,2564091,433,3235797,91,85266,408,2152247,499,1109741,130,470146,165,1008253,831,895448,232,1452395,33,31356,220,1050627,2139,5625972,649,2222052,758,6698295,3563,4246901,834,9906943,168,250322,842,5402180
106年02月,雲林縣,44317,54322688,14563,35607172,10723,43465522,71924,65405836,12982,50845951,7713,6940094,21334,80393923,19124,24274231,5428,13900421,5161,20052048,34074,32439991,5788,22530018,2471,2450615,8814,37648105,6625,8700187,1594,4370593,2219,8527840,12315,11690669,2054,8520652,619,552495,2831,13211676,3541,5346044,768,2294759,1156,5154174,6325,7789460,1154,5960196,246,250030,1359,7165257,1081,1759983,211,569644,369,1406227,2653,2777313,406,1512330,75,74337,504,2462915,828,1426176,181,446481,334,1278134,1467,1673737,310,1892360,77,63645,352,2278433,364,505892,75,236187,171,810601,771,839270,145,906570,23,21120,186,974252,1587,3441783,436,1690798,667,3996419,3296,3864476,740,5480919,114,175622,798,4258222
106年03月,雲林縣,48040,55095851,14773,36144554,9762,40101898,73696,68063578,11214,52342437,7720,6952785,21862,77131902,19766,24431216,5275,13945222,4659,19198740,34742,34323126,4917,24027373,2290,2058009,8801,35915265,6922,8784544,1531,4088779,1823,7399225,12557,13187973,1894,10211928,632,687490,2820,12321571,3377,4659893,731,2470561,1011,4841516,6524,7977035,953,5920714,243,285185,1504,7372789,1139,1743965,202,862534,379,1696037,2633,2668572,350,2877565,89,132425,495,2907407,844,1605169,191,502665,323,1812196,1694,1880986,320,2422308,59,52264,321,1270454,421,682960,88,233117,151,616415,775,853461,129,877800,28,21836,154,850262,1557,2972653,440,1455193,695,4083632,3324,4011044,673,6031307,85,115087,875,4692654
106年04月,雲林縣,52594,64885083,18652,43107247,11446,57751194,78849,69959193,14430,53872065,8579,9622029,20883,77377349,21907,28042502,6741,16251891,5717,29479936,37847,36459213,6539,24550555,2558,3226438,8278,34884424,7719,10258354,2092,5239399,2113,10870875,13901,13704204,2380,9365481,670,935265,2707,12241629,3687,5267166,906,2560347,1173,6944131,7077,8487748,1220,6019607,265,393806,1188,5978947,1271,1846174,295,926436,430,2535532,2949,3342995,430,2296177,111,106204,467,2672534,996,1476663,241,672619,346,1965094,1656,1790918,352,1809184,60,114282,321,1591906,427,607982,103,319329,173,1091321,886,890881,207,1255663,29,18157,146,934474,1779,2803243,501,1846394,734,7721265,3503,4587666,831,7408151,144,185045,753,5266008
106年05月,雲林縣,54153,67900103,19985,44327105,10432,48639259,76372,67483618,14006,54108611,8719,8917117,21041,81510284,23245,31832006,7199,17251503,5153,24017680,36115,33617426,6185,26138759,2703,2940863,8218,37184754,7985,10943012,2165,5276407,1905,8134796,12985,12569399,2234,9599984,686,790034,2593,13030372,3915,5791466,874,2401268,1055,5727993,6640,7554448,1291,7317772,258,373751,1344,7771108,1276,2406937,290,753332,367,1920521,2879,3232922,437,2142933,97,102932,455,2240006,1006,1626828,247,694722,294,1335973,1565,1598893,394,2074636,88,90849,311,1775293,464,791598,128,379210,157,1141556,845,978180,178,1385191,34,24055,143,1048523,1917,3964515,581,2016978,671,7818729,3445,3939797,864,7766627,139,155424,806,6198555
106年06月,雲林縣,52785,62643330,15857,34814629,9644,48629035,65551,60155263,10711,46004844,7802,7337381,20059,77520428,21614,26902267,5923,13899495,4702,23145621,29699,27909917,4797,24337596,2294,2514548,7811,36666597,7598,9489343,1849,4602043,1704,9077569,10631,10314743,1811,9494776,657,606556,2454,11446149,3727,4959908,742,1987369,978,5313204,5829,7246259,944,6198418,226,297171,1370,8604406,1210,1602716,257,633103,342,1949946,2396,2582147,341,1944300,63,63381,432,2870550,983,1351251,209,504243,230,1498874,1450,1529470,268,1619586,44,43696,305,1641034,424,607682,86,247587,129,983164,714,771757,165,973942,34,58908,161,978818,1774,2863864,478,1596268,581,4129212,3261,3893706,645,6889935,142,165840,716,4401308
106年07月,雲林縣,60075,71254510,17392,37946294,11805,60025712,70772,63816108,14077,53037797,9062,8562840,21109,79733513,24949,31087845,6763,16013794,6135,30093475,33364,31419852,6598,25514770,2841,2665895,8504,39386558,8775,11048564,2067,4810663,2271,12087576,11915,11427838,2484,11687893,803,808721,2785,14365991,4274,5862091,991,2644110,1252,6901333,6504,7449990,1227,7162033,299,251049,1404,7241946,1329,1884871,313,775590,435,2281283,2590,2797364,428,2174122,108,98549,511,2829253,1041,1483170,203,549802,270,1863843,1537,1529802,383,1725240,73,70057,310,2016891,499,838374,98,261532,147,836111,743,988046,166,990981,38,44422,165,1111737,2075,3511216,527,1608019,722,6336355,3410,3888658,818,7481638,149,240931,778,5438784
106年08月,雲林縣,61997,83115799,17783,38323829,12199,55993059,72593,65421578,15198,60223522,9137,9262669,21288,79203512,25647,36221457,6616,14998947,6042,28296938,33983,31473650,6970,29947984,2706,2688656,8162,39056984,8968,13284709,2209,5291289,2304,10198346,12289,12391793,2561,12352651,752,749553,2809,13723943,4515,6615791,905,2379494,1296,6598650,6542,8078348,1281,8148830,290,311721,1372,7802359,1406,2359876,254,654543,425,2198473,2705,2839835,506,2910559,98,115853,452,2999839,1154,1792649,260,607110,322,2043039,1546,1688113,397,2799914,78,96292,325,1867785,497,870823,96,222493,185,1137430,778,779782,170,549334,39,29912,177,819186,2199,4062846,541,1634442,773,6135122,3664,4471926,892,10603070,146,188722,835,5712182
106年09月,雲林縣,55648,74010595,15156,35045171,10399,49290802,68857,63089478,12485,50093746,8546,9882477,21202,86037127,22698,30743322,5485,13532477,4971,23034449,31454,29830970,5580,22685985,2460,2925514,8003,38132701,8033,11031062,1660,4158992,1878,8585732,11130,10886911,1908,8740779,665,820119,2609,13045075,3933,6296687,734,2032864,1053,5485490,6108,7336444,1024,6135005,232,445086,1353,7698513,1258,2011702,225,657070,332,1740298,2419,2386744,356,2062271,100,158238,480,2608036,1025,1573238,208,535715,275,1668182,1469,1537046,296,2373475,50,61478,337,1651729,442,789618,95,292065,150,893335,738,730990,151,939500,34,31181,155,1196271,2017,3879029,463,1492821,640,4850351,3357,4206059,775,7944870,138,226645,844,5520757
103年04月,嘉義市,92500,123602874,20561,49408183,13400,62309818,163024,169812121,15874,80626074,34966,104610754,43358,132990995,38413,51381249,8059,20762052,7140,31450652,63574,72198351,7598,44556326,16223,52321089,17263,61527880,15208,21682222,2437,6891042,2940,12530986,22799,27264809,2606,19465867,4774,15765746,5635,24958125,7070,11154248,1219,3998858,1713,11256849,13645,19395123,1377,13101414,2432,9577841,2950,14386652,2904,5193336,410,1329082,529,3165055,4461,6398502,455,4077243,794,2833334,939,4877274,2355,4253113,323,1080034,609,4444230,3720,5442644,402,2890755,653,2643846,752,4741718,1096,2301819,174,848803,273,1565840,1659,2183171,213,1943968,437,1372486,474,2218922,4555,8726221,917,3452805,1499,13128061,8033,12479711,973,11322729,1817,8008988,1700,11151818
103年05月,嘉義市,96618,145882701,21603,51540646,15050,64436788,168641,176254682,16367,83658962,35827,99074564,50268,141745011,39619,61535948,8630,22657183,7681,29230433,65180,74630329,7640,44638036,16413,49049391,19888,67231363,15540,25102860,2584,7393492,3104,13691533,23503,28166530,2645,17027527,5375,16172762,6199,24849075,7368,13036502,1185,4033007,1991,12312092,13802,19645288,1340,14390759,2529,8628938,3305,14864016,3083,5842252,449,1587246,605,2873549,4718,6566237,497,4186027,906,3151941,1146,5624278,2568,5557170,331,1303515,655,4288291,3800,5288255,385,3878161,714,3095143,811,4365504,1134,2352755,182,785768,299,1861497,1704,2242915,227,2280043,422,1545209,500,1921311,4584,9455226,847,3977682,1565,12506602,8102,12901829,1042,14677491,1998,7608545,1918,10778765
