statistic_yyy,site_id,village,edu_age_15up_total,edu_doctor_graduated_f,edu_doctor_ungraduated_f,edu_master_graduated_f,edu_master_ungraduated_f,edu_university_graduated_f,edu_university_ungraduated_f,edu_juniorcollege_2ys_graduated_f,edu_juniorcollege_2ys_ungraduated_f,edu_juniorcollege_5ys_final2y_graduated_f,edu_juniorcollege_5ys_final2y_ungraduated_f,edu_juniorcollege_5ys_first3y_ungraduated_f,edu_senior_graduated_f,edu_senior_ungraduated_f,edu_seniorvocational_graduated_f,edu_seniorvocational_ungraduated_f,edu_junior_graduated_f,edu_junior_ungraduated_f,edu_juniorvocational_graduated_f,edu_juniorvocational_ungraduated_f,edu_primary_graduated_f,edu_primary_ungraduated_f,edu_selftaughtl_f,edu_illiterate_f
統計年,區域別,村里名稱,總計,博畢_女,博肄_女,碩畢_女,碩肄_女,大畢_女,大肄_女,二畢_女,二肄_女,後二畢_女,後二肄_女,前三肄_女,高畢_女,高肄_女,職畢_女,職肄_女,國畢_女,國肄_女,初畢_女,初肄_女,小畢_女,小肄_女,自修_女,不識_女
105,新北市板橋區,聚安里,4972,2,1,53,20,415,119,152,19,80,3,150,47,431,86,19,433,26,6,0,345,29,8,38
105,新北市板橋區,龍安里,2624,1,0,30,11,222,68,76,14,31,2,74,25,233,53,10,170,18,1,0,259,22,11,36
105,新北市板橋區,崑崙里,8916,4,6,113,45,861,321,297,46,197,12,339,138,809,183,43,501,70,5,2,497,42,20,51
105,新北市板橋區,溪洲里,5426,3,2,77,26,509,173,165,26,98,5,157,73,474,113,18,416,41,3,1,362,32,10,28
105,新北市板橋區,溪北里,3261,1,3,57,13,303,103,97,18,58,1,138,60,298,42,7,175,20,2,0,225,20,6,23
105,新北市板橋區,香雅里,2378,2,1,36,15,247,66,62,6,43,3,73,32,185,30,9,159,20,0,0,192,6,7,19
105,新北市板橋區,新生里,3946,1,2,61,18,436,94,128,20,52,1,123,39,291,60,12,245,25,1,1,308,31,12,21
105,新北市板橋區,文德里,2883,3,3,63,21,296,97,96,13,75,4,87,53,230,46,9,137,11,3,0,183,13,8,16
105,新北市板橋區,文化里,3085,2,5,78,23,366,83,107,16,74,2,73,44,220,44,8,150,22,1,0,220,21,5,23
105,新北市板橋區,新海里,3263,1,1,32,15,289,93,86,20,38,3,104,38,275,66,14,305,21,1,1,193,24,8,17
105,新北市板橋區,莒光里,2620,5,2,53,15,309,73,78,10,62,3,75,27,202,31,16,143,20,6,0,181,20,6,17
105,新北市板橋區,富貴里,2137,2,3,44,14,285,77,58,13,66,0,52,33,176,32,9,81,11,4,1,140,13,6,6
105,新北市板橋區,正泰里,2804,0,4,49,17,335,95,73,13,65,2,82,39,235,40,16,166,17,2,1,189,23,2,15
105,新北市板橋區,民生里,2061,3,3,37,17,258,61,86,13,48,5,61,29,181,23,9,111,14,2,1,130,10,6,17
105,新北市板橋區,後埔里,3510,8,4,102,24,387,118,142,14,100,6,98,55,308,33,14,145,15,4,1,192,19,4,12
105,新北市板橋區,華福里,1973,0,1,40,11,246,55,45,7,41,5,64,20,180,14,9,117,13,1,1,129,16,3,6
105,新北市板橋區,堂春里,3924,1,2,44,13,365,135,118,14,82,5,138,43,376,75,10,245,24,0,0,234,24,5,27
105,新北市板橋區,成和里,5683,3,3,77,18,617,188,223,36,113,6,207,90,539,115,23,292,34,1,3,289,30,3,38
105,新北市板橋區,光榮里,2414,2,3,45,15,282,77,67,4,45,4,77,25,196,27,6,136,13,2,0,163,12,7,18
105,新北市板橋區,民安里,1943,0,0,50,10,223,76,75,6,58,3,67,32,165,11,9,89,9,2,0,113,6,7,12
105,新北市板橋區,陽明里,2631,2,1,40,17,298,69,69,8,66,3,102,24,203,39,8,149,22,3,2,192,18,3,20
105,新北市板橋區,朝陽里,3136,2,2,38,14,290,72,96,9,61,5,100,37,260,70,15,266,22,3,0,236,25,8,24
105,新北市板橋區,松柏里,2154,0,0,37,9,181,66,98,11,36,4,51,27,166,50,10,120,14,1,0,168,12,4,12
105,新北市板橋區,文聖里,3564,0,1,55,17,360,102,117,15,77,5,75,50,285,57,13,267,28,3,2,262,16,8,26
105,新北市板橋區,居仁里,3059,1,2,48,21,342,94,92,16,55,4,84,33,250,46,8,215,19,2,1,178,15,10,29
105,新北市板橋區,莊敬里,3589,2,3,109,33,465,107,147,19,101,3,109,55,277,49,13,174,25,2,3,155,18,6,27
105,新北市板橋區,東安里,2210,0,3,35,10,203,67,71,3,35,7,70,43,187,54,14,140,17,4,2,137,12,7,21
105,新北市板橋區,五權里,3838,0,2,45,17,334,101,132,23,48,4,119,58,298,60,15,282,21,1,0,300,28,5,34
105,新北市板橋區,溪福里,12597,5,9,175,57,1214,498,489,48,249,17,398,216,1268,271,61,709,75,10,0,574,52,13,41
105,新北市板橋區,大觀里,3396,1,1,46,12,335,113,91,14,55,0,103,37,305,59,10,319,19,0,0,201,18,6,25
105,新北市板橋區,歡園里,1227,0,0,9,2,87,38,32,4,15,0,36,17,110,33,2,84,5,0,1,93,9,3,12
105,新北市三重區,大有里,4968,1,4,67,27,496,155,153,21,80,9,135,66,451,79,10,390,26,4,2,269,26,7,37
105,新北市三重區,二重里,1536,3,0,16,3,121,56,36,8,20,0,35,18,110,45,5,146,8,0,0,103,11,2,13
105,新北市三重區,頂崁里,2142,0,0,20,2,219,78,55,11,29,0,59,28,170,48,3,172,8,3,0,132,13,1,12
105,新北市三重區,谷王里,901,1,0,7,1,65,23,24,4,12,0,23,11,67,19,2,58,2,0,0,87,4,1,15
105,新北市三重區,中興里,3583,3,0,49,22,385,121,92,16,73,3,105,45,271,50,9,248,9,6,0,225,31,3,23
105,新北市三重區,德厚里,378,0,0,4,0,23,9,8,2,4,2,12,6,26,11,0,38,5,0,0,31,4,0,7
105,新北市三重區,成功里,5564,1,1,119,45,667,169,232,29,116,6,189,96,505,93,13,267,20,3,0,273,30,9,25
105,新北市三重區,福祉里,4939,5,5,117,45,584,136,196,23,102,5,138,75,416,75,11,298,21,7,1,265,28,11,16
105,新北市三重區,福民里,3208,1,1,40,16,332,86,87,12,50,4,89,42,268,57,6,247,11,5,0,205,20,3,34
105,新北市三重區,過田里,8717,3,4,109,36,652,236,272,35,171,5,251,125,685,147,10,598,57,5,1,400,40,9,41
105,新北市三重區,錦田里,1956,1,0,29,5,194,64,60,11,34,1,64,21,166,28,4,124,9,2,0,138,8,6,11
105,新北市三重區,重明里,3240,4,2,70,17,332,107,111,11,82,2,79,50,272,58,8,202,16,4,1,207,19,1,16
105,新北市三重區,光田里,4211,4,2,67,28,426,121,154,23,110,7,102,60,357,63,7,244,20,10,0,301,24,6,27
105,新北市三重區,光陽里,5925,1,3,104,37,560,197,203,32,125,5,192,94,504,96,13,388,27,5,1,344,43,4,40
105,新北市三重區,田心里,3843,2,1,37,19,345,119,106,15,54,6,95,50,329,69,10,323,20,3,2,266,33,2,42
105,新北市三重區,福田里,3385,1,2,52,6,329,101,79,9,62,0,88,48,288,63,7,304,20,5,0,187,18,3,20
105,新北市三重區,田中里,5780,3,1,83,30,597,192,193,28,94,5,167,77,499,89,18,426,34,6,0,358,35,13,30
105,新北市三重區,田安里,5785,1,5,89,30,545,176,207,33,94,5,193,65,565,97,17,423,37,9,2,339,33,9,49
105,新北市三重區,三民里,3038,3,1,45,16,302,109,105,13,53,4,77,33,252,59,11,216,13,6,1,169,18,6,24
105,新北市三重區,光明里,6748,8,2,135,41,702,239,246,32,155,6,221,109,586,119,14,436,25,13,3,318,36,9,37
105,新北市三重區,光正里,2326,6,0,63,19,277,79,86,6,61,3,76,37,182,30,6,107,7,2,0,104,22,3,17
105,新北市三重區,同安里,1366,2,0,8,5,106,38,30,9,11,0,43,12,124,34,7,119,7,1,0,89,25,3,16
105,新北市三重區,同慶里,1673,2,0,17,13,158,59,53,6,40,3,52,29,141,23,4,109,1,1,1,86,22,3,21
105,新北市三重區,菜寮里,2041,1,2,23,15,190,65,57,9,31,2,64,24,166,41,2,154,10,2,0,157,23,2,15
105,新北市三重區,永春里,1826,1,0,21,7,176,62,48,9,31,1,48,23,164,41,7,134,7,2,0,107,23,5,20
105,新北市三重區,中正里,1325,1,0,15,9,104,45,37,5,20,1,37,5,119,26,2,84,8,2,0,109,15,1,9
105,新北市三重區,吉利里,1342,0,0,14,1,129,37,41,4,18,2,45,14,113,25,3,113,12,1,0,68,19,4,18
105,新北市三重區,大同里,1868,2,1,29,11,188,57,69,9,44,3,58,19,170,39,5,131,7,2,1,109,18,1,14
105,新北市三重區,中民里,1217,1,1,7,4,105,35,33,7,9,1,30,8,90,31,3,96,9,1,0,103,12,6,14
105,新北市三重區,平和里,1437,1,0,15,3,94,29,38,8,13,2,31,9,127,42,2,112,4,0,0,126,23,2,28
105,新北市三重區,大安里,1549,0,1,6,9,124,50,55,2,18,1,45,17,137,37,3,103,7,1,0,127,17,1,13
105,新北市三重區,仁德里,1913,0,0,21,8,145,49,47,5,23,3,42,18,151,44,3,159,13,1,1,168,19,0,12
105,新北市三重區,忠孝里,1629,1,1,14,7,125,46,47,18,27,2,59,25,124,35,4,105,11,1,2,129,13,5,17
105,新北市三重區,仁義里,1131,1,0,13,5,88,47,36,5,12,2,30,9,100,23,3,83,7,1,0,81,14,0,12
105,新北市三重區,光榮里,1342,0,0,22,8,133,38,32,10,19,1,31,18,100,39,3,107,7,2,2,87,5,1,14
105,新北市三重區,光輝里,1463,0,0,17,6,140,38,33,8,24,2,32,8,119,34,4,129,6,2,0,102,10,2,17
